Week Ending Date,County,Count
2021-01-30,CATTARAUGUS,2
2021-01-30,BROOME,3
2021-01-30,ALLEGANY,0
2021-01-30,BRONX,7
2021-01-30,CHEMUNG,0
2021-01-30,ONONDAGA,2
2021-01-30,FRANKLIN,0
2021-01-30,GENESEE,0
2021-01-30,WARREN,1
2021-01-30,NIAGARA,2
2021-01-30,NEW YORK,53
2021-01-30,NASSAU,14
2021-01-30,YATES,0
2021-01-30,MONTGOMERY,1
2021-01-30,ALBANY,0
2021-01-30,FULTON,3
2021-01-30,WASHINGTON,1
2021-01-30,LEWIS,0
2021-01-30,KINGS,37
2021-01-30,JEFFERSON,11
2021-01-30,HERKIMER,4
2021-01-30,HAMILTON,0
2021-01-30,GREENE,0
2021-01-30,WAYNE,0
2021-01-30,LIVINGSTON,0
2021-01-30,SUFFOLK,33
2021-01-30,MONROE,1
2021-01-30,SULLIVAN,3
2021-02-06,SENECA,0
2021-02-06,NASSAU,22
2021-02-06,NEW YORK,57
2021-02-06,TIOGA,0
2021-02-06,DUTCHESS,2
2021-02-06,WESTCHESTER,5
2021-02-06,NIAGARA,4
2021-02-06,ERIE,12
2021-02-06,WARREN,3
2021-02-06,DELAWARE,2
2021-02-06,ONONDAGA,0
2021-02-06,JEFFERSON,5
2021-02-06,ONTARIO,0
2021-02-06,CORTLAND,0
2021-02-06,ORANGE,3
2021-02-06,COLUMBIA,0
2021-02-06,ONEIDA,0
2021-02-06,YATES,0
2021-02-06,MONTGOMERY,1
2021-02-06,ESSEX,4
2021-02-06,KINGS,38
2021-02-06,HAMILTON,0
2021-02-06,LEWIS,0
2021-02-06,GREENE,0
2021-02-06,WAYNE,0
2021-02-06,LIVINGSTON,1
2021-02-06,WASHINGTON,1
2021-02-06,STEUBEN,1
2021-02-06,GENESEE,0
2021-02-06,MADISON,0
2021-02-06,FULTON,3
2021-02-06,ALBANY,2
2021-02-06,SULLIVAN,0
2021-02-06,FRANKLIN,0
