,date,county,census_fips_code,retail_and_recreation_percent_change,grocery_and_pharmacy_percent_change,parks_percent_change,transit_stations_percent_change,workplaces_percent_change,residential_percent_change
2016,2020-10-03,Dutchess County,36027.0,-15.428571428571429,1.2857142857142858,115.57142857142857,-30.857142857142858,-22.857142857142858,6.571428571428571
2077,2020-10-10,Dutchess County,36027.0,-15.714285714285714,2.0,122.28571428571429,-28.285714285714285,-22.0,6.285714285714286
2138,2020-10-17,Dutchess County,36027.0,-17.0,0.14285714285714285,77.42857142857143,-30.857142857142858,-24.428571428571427,8.428571428571429
2199,2020-10-24,Dutchess County,36027.0,-15.714285714285714,0.7142857142857143,126.42857142857143,-27.714285714285715,-21.428571428571427,7.0
2260,2020-10-31,Dutchess County,36027.0,-18.0,0.42857142857142855,59.285714285714285,-33.142857142857146,-21.857142857142858,8.285714285714286
2321,2020-11-07,Dutchess County,36027.0,-16.571428571428573,-2.5714285714285716,57.0,-36.142857142857146,-22.0,8.142857142857142
2382,2020-11-14,Dutchess County,36027.0,-17.571428571428573,-0.5714285714285714,85.28571428571429,-37.142857142857146,-22.571428571428573,9.142857142857142
2443,2020-11-21,Dutchess County,36027.0,-20.285714285714285,-0.2857142857142857,47.42857142857143,-42.0,-22.142857142857142,9.571428571428571
2504,2020-11-28,Dutchess County,36027.0,-24.142857142857142,1.8571428571428572,42.42857142857143,-46.857142857142854,-36.857142857142854,12.714285714285714
2565,2020-12-05,Dutchess County,36027.0,-21.0,-2.7142857142857144,20.142857142857142,-46.0,-25.571428571428573,10.857142857142858
2626,2020-12-12,Dutchess County,36027.0,-19.857142857142858,0.42857142857142855,23.142857142857142,-47.0,-24.428571428571427,10.285714285714286
2687,2020-12-19,Dutchess County,36027.0,-24.285714285714285,-0.8571428571428571,-1.4285714285714286,-50.285714285714285,-31.0,13.285714285714286
2748,2020-12-26,Dutchess County,36027.0,-22.571428571428573,7.285714285714286,4.285714285714286,-51.42857142857143,-39.142857142857146,13.428571428571429
2809,2021-01-02,Dutchess County,36027.0,-23.714285714285715,-3.2857142857142856,25.857142857142858,-51.42857142857143,-40.857142857142854,14.571428571428571
2870,2021-01-09,Dutchess County,36027.0,-29.142857142857142,-9.285714285714286,-4.428571428571429,-48.142857142857146,-28.714285714285715,12.428571428571429
2931,2021-01-16,Dutchess County,36027.0,-28.142857142857142,-9.428571428571429,-1.4285714285714286,-49.714285714285715,-28.142857142857142,12.0
2992,2021-01-23,Dutchess County,36027.0,-26.714285714285715,-11.285714285714286,13.0,-48.714285714285715,-30.428571428571427,12.428571428571429
3053,2021-01-30,Dutchess County,36027.0,-30.714285714285715,-12.857142857142858,-4.714285714285714,-48.714285714285715,-28.142857142857142,12.428571428571429
3114,2021-02-06,Dutchess County,36027.0,-35.714285714285715,-14.857142857142858,-22.142857142857142,-52.857142857142854,-35.285714285714285,15.714285714285714
3175,2021-02-13,Dutchess County,36027.0,-30.142857142857142,-8.0,-20.857142857142858,-47.42857142857143,-28.857142857142858,12.571428571428571
3236,2021-02-20,Dutchess County,36027.0,-28.857142857142858,-10.142857142857142,-14.571428571428571,-49.857142857142854,-33.714285714285715,14.714285714285714
3297,2021-02-27,Dutchess County,36027.0,-22.714285714285715,-6.857142857142857,-6.285714285714286,-44.142857142857146,-24.857142857142858,10.428571428571429
3358,2021-03-06,Dutchess County,36027.0,-20.142857142857142,-4.571428571428571,-0.7142857142857143,-43.57142857142857,-24.571428571428573,9.714285714285714
3419,2021-03-13,Dutchess County,36027.0,-15.285714285714286,-3.0,49.857142857142854,-37.714285714285715,-25.0,8.857142857142858
3480,2021-03-20,Dutchess County,36027.0,-16.0,-3.4285714285714284,23.0,-39.42857142857143,-24.857142857142858,9.0
3541,2021-03-27,Dutchess County,36027.0,-11.714285714285714,-3.142857142857143,69.85714285714286,-31.857142857142858,-24.285714285714285,7.428571428571429
3602,2021-04-03,Dutchess County,36027.0,-10.571428571428571,3.857142857142857,43.285714285714285,-34.57142857142857,-30.714285714285715,8.714285714285714
3663,2021-04-10,Dutchess County,36027.0,-13.285714285714286,-4.714285714285714,101.28571428571429,-27.857142857142858,-26.428571428571427,6.571428571428571
3724,2021-04-17,Dutchess County,36027.0,-12.428571428571429,-3.142857142857143,59.857142857142854,-36.0,-23.571428571428573,7.428571428571429
3785,2021-04-24,Dutchess County,36027.0,-9.285714285714286,-2.0,85.57142857142857,-28.571428571428573,-23.0,6.428571428571429
3846,2021-05-01,Dutchess County,36027.0,-8.571428571428571,1.0,81.57142857142857,-29.142857142857142,-23.142857142857142,6.285714285714286
3907,2021-05-08,Dutchess County,36027.0,-5.142857142857143,7.285714285714286,97.14285714285714,-28.0,-22.285714285714285,5.714285714285714
3968,2021-05-15,Dutchess County,36027.0,-4.571428571428571,5.857142857142857,114.14285714285714,-10.428571428571429,-23.285714285714285,4.571428571428571
4029,2021-05-22,Dutchess County,36027.0,-2.0,7.428571428571429,130.57142857142858,-19.571428571428573,-22.285714285714285,4.142857142857143
4090,2021-05-29,Dutchess County,36027.0,-2.0,6.714285714285714,105.57142857142857,-23.571428571428573,-25.285714285714285,5.142857142857143
4151,2021-06-05,Dutchess County,36027.0,-3.857142857142857,5.714285714285714,102.57142857142857,-25.0,-31.714285714285715,6.285714285714286
