Week Ending Date,County,Season,FIPS,Count
2020-04-11,WYOMING,2019-2020,36121,1
2020-04-11,ALLEGANY,2019-2020,36003,2
2020-04-11,ONEIDA,2019-2020,36065,2
2020-04-11,ERIE,2019-2020,36029,3
2020-04-11,ORANGE,2019-2020,36071,1
2020-04-11,SULLIVAN,2019-2020,36105,0
2020-04-11,ESSEX,2019-2020,36031,0
2020-04-11,CATTARAUGUS,2019-2020,36009,0
2020-04-11,DUTCHESS,2019-2020,36027,3
2020-04-11,ONTARIO,2019-2020,36069,0
2020-04-11,GREENE,2019-2020,36039,1
2020-04-11,OTSEGO,2019-2020,36077,2
2020-04-11,WARREN,2019-2020,36113,2
2020-04-11,ORLEANS,2019-2020,36073,1
2020-04-11,ROCKLAND,2019-2020,36087,2
2020-04-11,TIOGA,2019-2020,36107,0
2020-04-11,CLINTON,2019-2020,36019,0
2020-04-11,CORTLAND,2019-2020,36023,2
2020-04-11,ONONDAGA,2019-2020,36067,4
2020-04-11,PUTNAM,2019-2020,36079,0
2020-04-11,LEWIS,2019-2020,36049,0
2020-04-11,SCHENECTADY,2019-2020,36093,0
2020-04-11,QUEENS,2019-2020,36081,5
2020-04-11,NIAGARA,2019-2020,36063,20
2020-04-11,SCHOHARIE,2019-2020,36095,2
2020-04-11,TOMPKINS,2019-2020,36109,0
2020-04-11,GENESEE,2019-2020,36037,0
2020-04-11,DELAWARE,2019-2020,36025,2
2020-04-11,SUFFOLK,2019-2020,36103,2
2020-04-11,CAYUGA,2019-2020,36011,1
2020-04-11,LIVINGSTON,2019-2020,36051,0
2020-04-11,ST LAWRENCE,2019-2020,36089,10
2020-04-11,STEUBEN,2019-2020,36101,0
2020-04-11,OSWEGO,2019-2020,36075,2
